aombc,題,0
edk,決,1
ehsk,淚,0
emhf,鴻,0
fog,雀,-1
gjsle,報,0
hohgn,衝,0
hwmvs,粵,0
hxyc,與,2
hycr,船,0
ijcc,麻,0
ije,求,0
ine,永,1
ixe,慶,2
jchwk,窗,0
jcmvh,穿,0
jmuc,寶,0
kchne,殺,-1
lirxu,蠅,-2
lmuo,兆,-1
lmyyy,非,0
mrnr,哥,0
ohce,傻,0
ohqi,俄,0
olln,佛,0
oloh,修,0
omh,乒,-1
omi,乓,-1
pd,也,2
psh,切,0
qlmo,挑,0
qtbk,撒,-1
qybk,撤,-1
rmvh,呀,0
suok,改,0
tjks,勒,0
tlbk,英,2
tmmv,甚,0
tqm,差,0
vfhvp,紙,0
vfok,變,-1
vlxh,姊,0
yhus,邊,0
yhyu,遞,0
ymihh,歲,-1
ymy,卡,0
ysono,旋,0
ysyq,遲,0
yviw,畜,0
zxag,；,0
zxah,：,0
zxai,？,0
zxaj,！,1
zxbu,《,1
zxbv,》,0
zxcd,「,3
zxce,」,0
